SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,INDUSTRY
J&KBANK,The Jammu & Kashmir Bank Limited,EQ,22-JUL-1998,1,1,INE168A01041,1,Financial Services
JINDALSAW,Jindal Saw Limited,EQ,29-APR-2003,2,1,INE324A01024,2,Capital Goods
JSL,Jindal Stainless Limited,EQ,17-NOV-2003,2,1,INE220G01021,2,Metals & Mining
JINDALSTEL,Jindal Steel & Power Limited,EQ,29-DEC-1999,1,1,INE749A01030,1,Metals & Mining
JIOFIN,Jio Financial Services Limited,EQ,21-AUG-2023,10,1,INE758E01017,10,Financial Services
JUBLFOOD,Jubilant Foodworks Limited,EQ,08-FEB-2010,2,1,INE797F01020,2,Consumer Services
JUBLINGREA,Jubilant Ingrevia Limited,EQ,19-MAR-2021,1,1,INE0BY001018,1,Chemicals
JUBLPHARMA,Jubilant Pharmova Limited,EQ,16-JUN-2003,1,1,INE700A01033,1,Healthcare
JWL,Jupiter Wagons Limited,EQ,18-OCT-2010,10,1,INE209L01016,10,Capital Goods
JUSTDIAL,Just Dial Limited,EQ,05-JUN-2013,10,1,INE599M01018,10,Consumer Services
JYOTHYLAB,Jyothy Labs Limited,EQ,19-DEC-2007,1,1,INE668F01031,1,Fast Moving Consumer Goods
KPRMILL,K.P.R. Mill Limited,EQ,28-AUG-2007,1,1,INE930H01031,1,Textiles
KEI,KEI Industries Limited,EQ,23-MAR-2006,2,1,INE878B01027,2,Capital Goods
KNRCON,KNR Constructions Limited,EQ,18-FEB-2008,2,1,INE634I01029,2,Construction
KPITTECH,KPIT Technologies Limited,EQ,22-APR-2019,10,1,INE04I401011,10,Information Technology
KRBL,KRBL Limited,EQ,21-JAN-2002,1,1,INE001B01026,1,Fast Moving Consumer Goods
KSB,Ksb Limited,EQ,08-FEB-1995,10,1,INE999A01015,10,Capital Goods
KAJARIACER,Kajaria Ceramics Limited,EQ,01-JUN-2004,1,1,INE217B01036,1,Consumer Durables
KPIL,Kalpataru Projects International Limited,EQ,15-DEC-2000,2,1,INE220B01022,2,Construction
KALYANKJIL,Kalyan Jewellers India Limited,EQ,26-MAR-2021,10,1,INE303R01014,10,Consumer Durables
KANSAINER,Kansai Nerolac Paints Limited,EQ,15-SEP-2003,1,1,INE531A01024,1,Consumer Durables
KARURVYSYA,Karur Vysya Bank Limited,EQ,26-JUL-2000,2,1,INE036D01028,2,Financial Services
KAYNES,Kaynes Technology India Limited,EQ,22-NOV-2022,10,1,INE918Z01012,10,Capital Goods
KEC,KEC International Limited,EQ,10-MAR-2006,2,1,INE389H01022,2,Construction
KFINTECH,Kfin Technologies Limited,EQ,29-DEC-2022,10,1,INE138Y01010,10,Financial Services
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,20-DEC-1995,5,1,INE237A01028,5,Financial Services
KIMS,Krishna Institute of Medical Sciences Limited,EQ,28-JUN-2021,10,1,INE967H01017,10,Healthcare
LTF,L&T Finance Limited,EQ,12-AUG-2011,10,1,INE498L01015,10,Financial Services
LTTS,L&T Technology Services Limited,EQ,23-SEP-2016,2,1,INE010V01017,2,Information Technology
LICHSGFIN,LIC Housing Finance Limited,EQ,29-JUL-1998,2,1,INE115A01026,2,Financial Services
LTIM,LTIMindtree Limited,EQ,21-JUL-2016,1,1,INE214T01019,1,Information Technology
LT,Larsen & Toubro Limited,EQ,23-JUN-2004,2,1,INE018A01030,2,Construction
LATENTVIEW,Latent View Analytics Limited,BE,23-NOV-2021,1,1,INE0I7C01011,1,Information Technology
LAURUSLABS,Laurus Labs Limited,EQ,19-DEC-2016,2,1,INE947Q01028,2,Healthcare
LXCHEM,Laxmi Organic Industries Limited,EQ,25-MAR-2021,2,1,INE576O01020,2,Chemicals
LEMONTREE,Lemon Tree Hotels Limited,EQ,09-APR-2018,10,1,INE970X01018,10,Consumer Services
LICI,Life Insurance Corporation Of India,EQ,17-MAY-2022,10,1,INE0J1Y01017,10,Financial Services
LINDEINDIA,Linde India Limited,EQ,16-JUN-1999,10,1,INE473A01011,10,Chemicals
LLOYDSME,Lloyds Metals And Energy Limited,EQ,17-JUL-2023,1,1,INE281B01032,1,Metals & Mining
LUPIN,Lupin Limited,EQ,10-SEP-2001,2,1,INE326A01037,2,Healthcare
MMTC,MMTC Limited,EQ,09-APR-2012,1,1,INE123F01029,1,Services
MRF,MRF Limited,EQ,18-SEP-1996,10,1,INE883A01011,10,Automobile and Auto Components
MTARTECH,Mtar Technologies Limited,EQ,15-MAR-2021,10,1,INE864I01014,10,Capital Goods
LODHA,Macrotech Developers Limited,EQ,19-APR-2021,10,1,INE670K01029,10,Realty
MGL,Mahanagar Gas Limited,EQ,01-JUL-2016,10,1,INE002S01010,10,Oil Gas & Consumable Fuels
MAHSEAMLES,Maharashtra Seamless Limited,EQ,25-AUG-2004,5,1,INE271B01025,5,Capital Goods
M&MFIN,Mahindra & Mahindra Financial Services Limited,EQ,17-MAR-2006,2,1,INE774D01024,2,Financial Services
M&M,Mahindra & Mahindra Limited,EQ,03-JAN-1996,5,1,INE101A01026,5,Automobile and Auto Components
MHRIL,Mahindra Holidays & Resorts India Limited,EQ,16-JUL-2009,10,1,INE998I01010,10,Consumer Services
MAHLIFE,Mahindra Lifespace Developers Limited,EQ,10-MAY-2000,10,1,INE813A01018,10,Realty
MANAPPURAM,Manappuram Finance Limited,EQ,01-DEC-2014,2,1,INE522D01027,2,Financial Services
MRPL,Mangalore Refinery and Petrochemicals Limited,EQ,07-JAN-2005,10,1,INE103A01014,10,Oil Gas & Consumable Fuels
MANKIND,Mankind Pharma Limited,EQ,09-MAY-2023,1,1,INE634S01028,1,Healthcare
MARICO,Marico Limited,EQ,01-MAY-1996,1,1,INE196A01026,1,Fast Moving Consumer Goods
MARUTI,Maruti Suzuki India Limited,EQ,09-JUL-2003,5,1,INE585B01010,5,Automobile and Auto Components
MASTEK,Mastek Limited,EQ,10-MAY-1995,5,1,INE759A01021,5,Information Technology
MFSL,Max Financial Services Limited,EQ,17-MAY-2000,2,1,INE180A01020,2,Financial Services
MAXHEALTH,Max Healthcare Institute Limited,EQ,21-AUG-2020,10,1,INE027H01010,10,Healthcare
MAZDOCK,Mazagon Dock Shipbuilders Limited,EQ,12-OCT-2020,10,1,INE249Z01012,10,Capital Goods
MEDPLUS,Medplus Health Services Limited,EQ,23-DEC-2021,2,1,INE804L01022,2,Consumer Services
METROBRAND,Metro Brands Limited,EQ,22-DEC-2021,5,1,INE317I01021,5,Consumer Durables
METROPOLIS,Metropolis Healthcare Limited,EQ,15-APR-2019,2,1,INE112L01020,2,Healthcare
MINDACORP,Minda Corporation Limited,EQ,16-OCT-2014,2,1,INE842C01021,2,Automobile and Auto Components
MSUMI,Motherson Sumi Wiring India Limited,EQ,28-MAR-2022,1,1,INE0FS801015,1,Automobile and Auto Components
MOTILALOFS,Motilal Oswal Financial Services Limited,EQ,11-SEP-2007,1,1,INE338I01027,1,Financial Services
MPHASIS,MphasiS Limited,EQ,04-JUN-2004,10,1,INE356A01018,10,Information Technology
MCX,Multi Commodity Exchange of India Limited,EQ,09-MAR-2012,10,1,INE745G01035,10,Financial Services
MUTHOOTFIN,Muthoot Finance Limited,EQ,06-MAY-2011,10,1,INE414G01012,10,Financial Services
NATCOPHARM,Natco Pharma Limited,EQ,27-DEC-1995,2,1,INE987B01026,2,Healthcare
NBCC,NBCC (India) Limited,EQ,12-APR-2012,1,1,INE095N01031,1,Construction
NCC,NCC Limited,EQ,14-OCT-2003,2,1,INE868B01028,2,Construction
NHPC,NHPC Limited,EQ,01-SEP-2009,10,1,INE848E01016,10,Power
NLCINDIA,NLC India Limited,EQ,23-AUG-2000,10,1,INE589A01014,10,Power
NMDC,NMDC Limited,EQ,03-MAR-2008,1,1,INE584A01023,1,Metals & Mining
NSLNISP,NMDC Steel Limited,EQ,20-FEB-2023,10,1,INE0NNS01018,10,Metals & Mining
NTPC,NTPC Limited,EQ,05-NOV-2004,10,1,INE733E01010,10,Power
NH,Narayana Hrudayalaya Ltd.,EQ,06-JAN-2016,10,1,INE410P01011,10,Healthcare
NATIONALUM,National Aluminium Company Limited,EQ,28-APR-1999,5,1,INE139A01034,5,Metals & Mining
NAVINFLUOR,Navin Fluorine International Limited,EQ,01-JUN-2007,2,1,INE048G01026,2,Chemicals
NESTLEIND,Nestle India Limited,EQ,01-AUG-2023,1,1,INE239A01024,1,Fast Moving Consumer Goods
NETWORK18,Network18 Media & Investments Limited,EQ,02-FEB-2007,5,1,INE870H01013,5,Media Entertainment & Publication
NAM-INDIA,Nippon Life India Asset Management Limited,EQ,06-NOV-2017,10,1,INE298J01013,10,Financial Services
NUVAMA,Nuvama Wealth Management Limited,EQ,26-SEP-2023,10,1,INE531F01015,10,Financial Services
NUVOCO,Nuvoco Vistas Corporation Limited,EQ,23-AUG-2021,10,1,INE118D01016,10,Construction Materials
OBEROIRLTY,Oberoi Realty Limited,EQ,20-OCT-2010,10,1,INE093I01010,10,Realty
ONGC,Oil & Natural Gas Corporation Limited,EQ,19-JUL-1995,5,1,INE213A01029,5,Oil Gas & Consumable Fuels
OIL,Oil India Limited,EQ,30-SEP-2009,10,1,INE274J01014,10,Oil Gas & Consumable Fuels
OLECTRA,Olectra Greentech Limited,EQ,20-MAR-2002,4,1,INE260D01016,4,Automobile and Auto Components
PAYTM,One 97 Communications Limited,EQ,18-NOV-2021,1,1,INE982J01020,1,Financial Services
OFSS,Oracle Financial Services Software Limited,EQ,28-JUN-2002,5,1,INE881D01027,5,Information Technology
POLICYBZR,PB Fintech Limited,EQ,15-NOV-2021,2,1,INE417T01026,2,Financial Services
PCBL,PCBL LIMITED,EQ,29-MAR-1995,1,1,INE602A01031,1,Chemicals
PIIND,PI Industries Limited,EQ,15-JUN-2011,1,1,INE603J01030,1,Chemicals
PNBHOUSING,PNB Housing Finance Limited,EQ,07-NOV-2016,10,1,INE572E01012,10,Financial Services
PNCINFRA,PNC Infratech Limited,EQ,26-MAY-2015,2,1,INE195J01029,2,Construction
PVRINOX,PVR INOX Limited,EQ,04-JAN-2006,10,1,INE191H01014,10,Media Entertainment & Publication
PAGEIND,Page Industries Limited,EQ,16-MAR-2007,10,1,INE761H01022,10,Textiles
PATANJALI,Patanjali Foods Limited,EQ,24-JAN-2020,2,1,INE619A01035,2,Fast Moving Consumer Goods
PERSISTENT,Persistent Systems Limited,EQ,06-APR-2010,5,1,INE262H01021,5,Information Technology
PETRONET,Petronet LNG Limited,EQ,26-MAR-2004,10,1,INE347G01014,10,Oil Gas & Consumable Fuels
PHOENIXLTD,The Phoenix Mills Limited,EQ,23-APR-2007,2,1,INE211B01039,2,Realty
PIDILITIND,Pidilite Industries Limited,EQ,29-MAR-1995,1,1,INE318A01026,1,Chemicals
PEL,Piramal Enterprises Limited,EQ,08-FEB-1995,2,1,INE140A01024,2,Financial Services
PPLPHARMA,Piramal Pharma Limited,EQ,19-OCT-2022,10,1,INE0DK501011,10,Healthcare
POLYMED,Poly Medicure Limited,EQ,07-DEC-2011,5,1,INE205C01021,5,Healthcare
POLYCAB,Polycab India Limited,EQ,16-APR-2019,10,1,INE455K01017,10,Capital Goods
POONAWALLA,Poonawalla Fincorp Limited,EQ,27-APR-2004,2,1,INE511C01022,2,Financial Services
PFC,Power Finance Corporation Limited,EQ,23-FEB-2007,10,1,INE134E01011,10,Financial Services
POWERGRID,Power Grid Corporation of India Limited,EQ,05-OCT-2007,10,1,INE752E01010,10,Power
PRAJIND,Praj Industries Limited,EQ,11-OCT-1995,2,1,INE074A01025,2,Capital Goods
PRESTIGE,Prestige Estates Projects Limited,EQ,27-OCT-2010,10,1,INE811K01011,10,Realty
PRINCEPIPE,Prince Pipes And Fittings Limited,EQ,30-DEC-2019,10,1,INE689W01016,10,Capital Goods
PRSMJOHNSN,Prism Johnson Limited,EQ,20-AUG-2003,10,1,INE010A01011,10,Construction Materials
PGHH,Procter & Gamble Hygiene and Health Care Limited,EQ,07-JUL-2004,10,1,INE179A01014,10,Fast Moving Consumer Goods
PNB,Punjab National Bank,EQ,24-APR-2002,2,1,INE160A01022,2,Financial Services
QUESS,Quess Corp Limited,EQ,12-JUL-2016,10,1,INE615P01015,10,Services
RRKABEL,R R Kabel Limited,EQ,20-SEP-2023,5,1,INE777K01022,5,Capital Goods
RBLBANK,RBL Bank Limited,EQ,31-AUG-2016,10,1,INE976G01028,10,Financial Services
RECLTD,REC Limited,EQ,12-MAR-2008,10,1,INE020B01018,10,Financial Services
RHIM,RHI MAGNESITA INDIA LIMITED,EQ,12-MAR-2012,1,1,INE743M01012,1,Capital Goods
RITES,RITES Limited,EQ,02-JUL-2018,10,1,INE320J01015,10,Construction
RADICO,Radico Khaitan Limited,EQ,18-JUN-2003,2,1,INE944F01028,2,Fast Moving Consumer Goods
RVNL,Rail Vikas Nigam Limited,EQ,11-APR-2019,10,1,INE415G01027,10,Construction
RAILTEL,Railtel Corporation Of India Limited,EQ,26-FEB-2021,10,1,INE0DD101019,10,Telecommunication
RAINBOW,Rainbow Childrens Medicare Limited,EQ,10-MAY-2022,10,1,INE961O01016,10,Healthcare
RAJESHEXPO,Rajesh Exports Limited,EQ,09-FEB-2000,1,1,INE343B01030,1,Consumer Durables
RKFORGE,Ramkrishna Forgings Limited,EQ,05-MAY-2004,2,1,INE399G01023,2,Automobile and Auto Components
RCF,Rashtriya Chemicals and Fertilizers Limited,EQ,07-JAN-1998,10,1,INE027A01015,10,Chemicals
RATNAMANI,Ratnamani Metals & Tubes Limited,EQ,09-MAY-2006,2,1,INE703B01027,2,Capital Goods
RTNINDIA,RattanIndia Enterprises Limited,EQ,30-JUL-2012,2,1,INE834M01019,2,Consumer Services
RAYMOND,Raymond Limited,EQ,18-OCT-1995,10,1,INE301A01014,10,Textiles
REDINGTON,Redington Limited,EQ,15-FEB-2007,2,1,INE891D01026,2,Services
RELIANCE,Reliance Industries Limited,EQ,29-NOV-1995,10,1,INE002A01018,10,Oil Gas & Consumable Fuels
RBA,Restaurant Brands Asia Limited,EQ,14-DEC-2020,10,1,INE07T201019,10,Consumer Services
ROUTE,ROUTE MOBILE LIMITED,EQ,21-SEP-2020,10,1,INE450U01017,10,Telecommunication
SBFC,SBFC Finance Limited,EQ,16-AUG-2023,10,1,INE423Y01016,10,Financial Services
SBICARD,SBI Cards and Payment Services Limited,EQ,16-MAR-2020,10,1,INE018E01016,10,Financial Services
SBILIFE,SBI Life Insurance Company Limited,EQ,03-OCT-2017,10,1,INE123W01016,10,Financial Services
SJVN,SJVN Limited,EQ,20-MAY-2010,10,1,INE002L01015,10,Power
SKFINDIA,SKF India Limited,EQ,27-JAN-1999,10,1,INE640A01023,10,Capital Goods
SRF,SRF Limited,EQ,18-AUG-2003,10,1,INE647A01010,10,Chemicals
SAFARI,Safari Industries (India) Limited,EQ,12-SEP-2019,2,1,INE429E01023,2,Consumer Durables
MOTHERSON,Samvardhana Motherson International Limited,EQ,14-AUG-1996,1,1,INE775A01035,1,Automobile and Auto Components
SANOFI,Sanofi India Limited,EQ,19-MAY-2003,10,1,INE058A01010,10,Healthcare
SAPPHIRE,Sapphire Foods India Limited,EQ,18-NOV-2021,10,1,INE806T01012,10,Consumer Services
SAREGAMA,Saregama India Limited,EQ,30-JUL-1997,1,1,INE979A01025,1,Media Entertainment & Publication
SCHAEFFLER,Schaeffler India Limited,EQ,29-NOV-2000,2,1,INE513A01022,2,Automobile and Auto Components
SCHNEIDER,Schneider Electric Infrastructure Limited,BE,20-MAR-2012,2,1,INE839M01018,2,Capital Goods
SHREECEM,SHREE CEMENT LIMITED,EQ,26-APR-1995,10,1,INE070A01015,10,Construction Materials
RENUKA,Shree Renuka Sugars Limited,EQ,31-OCT-2005,1,1,INE087H01022,1,Fast Moving Consumer Goods
SHRIRAMFIN,Shriram Finance Limited,EQ,11-DEC-1996,10,1,INE721A01013,10,Financial Services
SHYAMMETL,Shyam Metalics and Energy Limited,EQ,24-JUN-2021,10,1,INE810G01011,10,Capital Goods
SIEMENS,Siemens Limited,EQ,06-SEP-1995,2,1,INE003A01024,2,Capital Goods
SIGNATURE,Signatureglobal (India) Limited,EQ,27-SEP-2023,1,1,INE903U01023,1,Realty
SOBHA,Sobha Limited,EQ,20-DEC-2006,10,1,INE671H01015,10,Realty
SOLARINDS,Solar Industries India Limited,EQ,03-APR-2006,2,1,INE343H01029,2,Chemicals
SONACOMS,Sona BLW Precision Forgings Limited,EQ,24-JUN-2021,10,1,INE073K01018,10,Automobile and Auto Components
SONATSOFTW,Sonata Software Limited,EQ,28-JUL-1999,1,1,INE269A01021,1,Information Technology
STARHEALTH,Star Health and Allied Insurance Company Limited,EQ,10-DEC-2021,10,1,INE575P01011,10,Financial Services
SBIN,State Bank of India,EQ,01-MAR-1995,1,1,INE062A01020,1,Financial Services
SAIL,Steel Authority of India Limited,EQ,06-JUL-1995,10,1,INE114A01011,10,Metals & Mining
SWSOLAR,Sterling and Wilson Renewable Energy Limited,EQ,20-AUG-2019,1,1,INE00M201021,1,Construction
STLTECH,Sterlite Technologies Limited,EQ,08-DEC-2000,2,1,INE089C01029,2,Telecommunication
SUMICHEM,Sumitomo Chemical India Limited,EQ,27-JAN-2020,10,1,INE258G01013,10,Chemicals
SPARC,Sun Pharma Advanced Research Company Limited,EQ,18-JUL-2007,1,1,INE232I01014,1,Healthcare
SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,08-FEB-1995,1,1,INE044A01036,1,Healthcare
SUNTV,Sun TV Network Limited,EQ,24-APR-2006,5,1,INE424H01027,5,Media Entertainment & Publication
SUNDARMFIN,Sundaram Finance Limited,EQ,07-JAN-1998,10,1,INE660A01013,10,Financial Services
SUNDRMFAST,Sundram Fasteners Limited,EQ,07-JUN-2000,1,1,INE387A01021,1,Automobile and Auto Components
SUNTECK,Sunteck Realty Limited,EQ,13-NOV-2009,1,1,INE805D01034,1,Realty
SUPREMEIND,Supreme Industries Limited,EQ,19-JUL-1995,2,1,INE195A01028,2,Capital Goods
SUVENPHAR,Suven Pharmaceuticals Limited,EQ,09-MAR-2020,1,1,INE03QK01018,1,Healthcare
SUZLON,Suzlon Energy Limited,BE,19-OCT-2005,2,1,INE040H01021,2,Capital Goods
SWANENERGY,Swan Energy Limited,EQ,29-MAY-2012,1,1,INE665A01038,1,Diversified
SYNGENE,Syngene International Limited,EQ,11-AUG-2015,10,1,INE398R01022,10,Healthcare
SYRMA,Syrma SGS Technology Limited,EQ,26-AUG-2022,10,1,INE0DYJ01015,10,Capital Goods
TVSMOTOR,TVS Motor Company Limited,EQ,02-AUG-2000,1,1,INE494B01023,1,Automobile and Auto Components
TVSSCS,TVS Supply Chain Solutions Limited,EQ,23-AUG-2023,1,1,INE395N01027,1,Services
TMB,Tamilnad Mercantile Bank Limited,EQ,15-SEP-2022,10,1,INE668A01016,10,Financial Services
TANLA,Tanla Platforms Limited,EQ,05-JAN-2007,1,1,INE483C01032,1,Information Technology
TATACHEM,Tata Chemicals Limited,EQ,01-APR-1999,10,1,INE092A01019,10,Chemicals
TATACOMM,Tata Communications Limited,EQ,12-APR-1995,10,1,INE151A01013,10,Telecommunication
TCS,Tata Consultancy Services Limited,EQ,25-AUG-2004,1,1,INE467B01029,1,Information Technology
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,EQ,18-NOV-1998,1,1,INE192A01025,1,Fast Moving Consumer Goods
TATAELXSI,Tata Elxsi Limited,EQ,17-SEP-2003,10,1,INE670A01012,10,Information Technology
TATAINVEST,Tata Investment Corporation Limited,BE,24-JUN-1998,10,1,INE672A01018,10,Financial Services
TATAMOTORS,Tata Motors Limited,EQ,22-JUL-1998,2,1,INE155A01022,2,Automobile and Auto Components
TATAPOWER,Tata Power Company Limited,EQ,03-APR-1996,1,1,INE245A01021,1,Power
TATASTEEL,Tata Steel Limited,EQ,18-NOV-1998,1,1,INE081A01020,1,Metals & Mining
TATATECH,Tata Technologies Limited,EQ,30-NOV-2023,2,1,INE142M01025,2,Information Technology
TTML,Tata Teleservices (Maharashtra) Limited,EQ,20-OCT-2000,10,1,INE517B01013,10,Telecommunication
TECHM,Tech Mahindra Limited,EQ,28-AUG-2006,5,1,INE669C01036,5,Information Technology
TEJASNET,Tejas Networks Limited,EQ,27-JUN-2017,10,1,INE010J01012,10,Telecommunication
NIACL,The New India Assurance Company Limited,EQ,13-NOV-2017,5,1,INE470Y01017,5,Financial Services
RAMCOCEM,The Ramco Cements Limited,EQ,09-APR-1997,1,1,INE331A01037,1,Construction Materials
THERMAX,Thermax Limited,EQ,30-AUG-1995,2,1,INE152A01029,2,Capital Goods
TIMKEN,Timken India Limited,EQ,06-FEB-2007,10,1,INE325A01013,10,Capital Goods
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,EQ,21-APR-2008,2,1,INE615H01020,2,Capital Goods
TITAN,Titan Company Limited,EQ,24-SEP-2004,1,1,INE280A01028,1,Consumer Durables
TORNTPHARM,Torrent Pharmaceuticals Limited,EQ,25-NOV-2002,5,1,INE685A01028,5,Healthcare
TORNTPOWER,Torrent Power Limited,EQ,28-NOV-2006,10,1,INE813H01021,10,Power
TRENT,Trent Limited,EQ,07-JUN-2004,1,1,INE849A01020,1,Consumer Services
TRIDENT,Trident Limited,EQ,21-FEB-2001,1,1,INE064C01022,1,Textiles
TRIVENI,Triveni Engineering & Industries Limited,EQ,13-DEC-2005,1,1,INE256C01024,1,Fast Moving Consumer Goods
TRITURBINE,Triveni Turbine Limited,EQ,28-OCT-2011,1,1,INE152M01016,1,Capital Goods
TIINDIA,Tube Investments of India Limited,EQ,02-NOV-2017,1,1,INE974X01010,1,Automobile and Auto Components
UCOBANK,UCO Bank,EQ,09-OCT-2003,10,1,INE691A01018,10,Financial Services
UNOMINDA,UNO Minda Limited,EQ,02-FEB-2007,2,1,INE405E01023,2,Automobile and Auto Components
UPL,UPL Limited,EQ,23-JAN-2004,2,1,INE628A01036,2,Chemicals
UTIAMC,UTI Asset Management Company Limited,EQ,12-OCT-2020,10,1,INE094J01016,10,Financial Services
UJJIVANSFB,Ujjivan Small Finance Bank Limited,EQ,12-DEC-2019,10,1,INE551W01018,10,Financial Services
ULTRACEMCO,UltraTech Cement Limited,EQ,24-AUG-2004,10,1,INE481G01011,10,Construction Materials
UNIONBANK,Union Bank of India,EQ,24-SEP-2002,10,1,INE692A01016,10,Financial Services
UBL,United Breweries Limited,EQ,28-JUL-2008,1,1,INE686F01025,1,Fast Moving Consumer Goods
USHAMART,Usha Martin Limited,EQ,11-OCT-2000,1,1,INE228A01035,1,Capital Goods
VGUARD,V-Guard Industries Limited,EQ,13-MAR-2008,1,1,INE951I01027,1,Consumer Durables
VIPIND,VIP Industries Limited,EQ,02-MAR-2005,2,1,INE054A01027,2,Consumer Durables
VAIBHAVGBL,Vaibhav Global Limited,EQ,05-APR-2004,2,1,INE884A01027,2,Consumer Durables
VTL,Vardhman Textiles Limited,EQ,14-JAN-2003,2,1,INE825A01020,2,Textiles
VARROC,Varroc Engineering Limited,EQ,06-JUL-2018,1,1,INE665L01035,1,Automobile and Auto Components
VBL,Varun Beverages Limited,EQ,08-NOV-2016,5,1,INE200M01021,5,Fast Moving Consumer Goods
MANYAVAR,Vedant Fashions Limited,EQ,16-FEB-2022,1,1,INE825V01034,1,Consumer Services
VEDL,Vedanta Limited,EQ,13-MAY-1998,1,1,INE205A01025,1,Metals & Mining
VIJAYA,Vijaya Diagnostic Centre Limited,EQ,14-SEP-2021,1,1,INE043W01024,1,Healthcare
IDEA,Vodafone Idea Limited,EQ,09-MAR-2007,10,1,INE669E01016,10,Telecommunication
VOLTAS,Voltas Limited,EQ,12-APR-1995,1,1,INE226A01021,1,Consumer Durables
WELCORP,Welspun Corp Limited,EQ,24-MAY-2005,5,1,INE191B01025,5,Capital Goods
WELSPUNLIV,Welspun Living Limited,EQ,04-DEC-2003,1,1,INE192B01031,1,Textiles
WESTLIFE,WESTLIFE FOODWORLD LIMITED,EQ,05-JUN-2023,2,1,INE274F01020,2,Consumer Services
WHIRLPOOL,Whirlpool of India Limited,EQ,06-APR-2010,10,1,INE716A01013,10,Consumer Durables
WIPRO,Wipro Limited,EQ,08-NOV-1995,2,1,INE075A01022,2,Information Technology
YESBANK,Yes Bank Limited,EQ,12-JUL-2005,2,1,INE528G01035,2,Financial Services
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,EQ,01-OCT-2008,5,1,INE342J01019,5,Automobile and Auto Components
ZEEL,Zee Entertainment Enterprises Limited,EQ,09-SEP-1998,1,1,INE256A01028,1,Media Entertainment & Publication
ZENSARTECH,Zensar Technologies Limited,EQ,09-JUL-2003,2,1,INE520A01027,2,Information Technology
ZOMATO,Zomato Limited,EQ,23-JUL-2021,1,1,INE758T01015,1,Consumer Services
ZYDUSLIFE,Zydus Lifesciences Limited,EQ,18-APR-2000,1,1,INE010B01027,1,Healthcare
ECLERX,eClerx Services Limited,EQ,31-DEC-2007,10,1,INE738I01010,10,Services
